2023-12-10 01:08:01,536: Executor: process, n_jobs: 8, Result: 1.007833419873582, Time: 0.0014469623565673828
2023-12-10 01:08:01,538: Executor: thread, n_jobs: 9, Result: 1.007833419873582, Time: 0.0019078254699707031
2023-12-10 01:08:01,540: Executor: process, n_jobs: 9, Result: 1.007833419873582, Time: 0.0016384124755859375
2023-12-10 01:08:01,542: Executor: thread, n_jobs: 10, Result: 1.007833419873582, Time: 0.0016717910766601562
2023-12-10 01:08:01,543: Executor: process, n_jobs: 10, Result: 1.007833419873582, Time: 0.0014798641204833984
2023-12-10 01:08:01,545: Executor: thread, n_jobs: 11, Result: 1.007833419873582, Time: 0.0015370845794677734
2023-12-10 01:08:01,547: Executor: process, n_jobs: 11, Result: 1.007833419873582, Time: 0.0016124248504638672
2023-12-10 01:08:01,548: Executor: thread, n_jobs: 12, Result: 1.007833419873582, Time: 0.0015933513641357422
2023-12-10 01:08:01,550: Executor: process, n_jobs: 12, Result: 1.007833419873582, Time: 0.0016200542449951172
2023-12-10 01:08:01,552: Executor: thread, n_jobs: 13, Result: 1.007833419873582, Time: 0.0016515254974365234
2023-12-10 01:08:01,554: Executor: process, n_jobs: 13, Result: 1.007833419873582, Time: 0.0020689964294433594
2023-12-10 01:08:01,555: Executor: thread, n_jobs: 14, Result: 1.007833419873582, Time: 0.0017256736755371094
2023-12-10 01:08:01,557: Executor: process, n_jobs: 14, Result: 1.007833419873582, Time: 0.0016901493072509766
2023-12-10 01:08:01,559: Executor: thread, n_jobs: 15, Result: 1.007833419873582, Time: 0.0015726089477539062
2023-12-10 01:08:01,560: Executor: process, n_jobs: 15, Result: 1.007833419873582, Time: 0.001547098159790039
2023-12-10 01:08:01,562: Executor: thread, n_jobs: 16, Result: 1.007833419873582, Time: 0.0017251968383789062
2023-12-10 01:08:01,564: Executor: process, n_jobs: 16, Result: 1.007833419873582, Time: 0.0016016960144042969
2023-12-10 01:08:28,073: Executor: thread, n_jobs: 1, Result: 1.0007851925466296, Time: 0.0001595020294189453
2023-12-10 01:08:28,074: Executor: process, n_jobs: 1, Result: 1.0007851925466296, Time: 0.0001308917999267578
2023-12-10 01:08:28,085: Executor: thread, n_jobs: 2, Result: 1.0007851925466296, Time: 0.011258125305175781
2023-12-10 01:08:28,093: Executor: process, n_jobs: 2, Result: 1.0007851925466296, Time: 0.00832366943359375
2023-12-10 01:08:28,102: Executor: thread, n_jobs: 3, Result: 1.0007851925466296, Time: 0.008222341537475586
2023-12-10 01:08:28,110: Executor: process, n_jobs: 3, Result: 1.0007851925466296, Time: 0.008400917053222656
2023-12-10 01:08:28,120: Executor: thread, n_jobs: 4, Result: 1.0007851925466296, Time: 0.010275840759277344
2023-12-10 01:08:28,130: Executor: process, n_jobs: 4, Result: 1.0007851925466296, Time: 0.009135961532592773
2023-12-10 01:08:28,140: Executor: thread, n_jobs: 5, Result: 1.0007851925466296, Time: 0.009991168975830078
2023-12-10 01:08:28,149: Executor: process, n_jobs: 5, Result: 1.0007851925466296, Time: 0.009003877639770508
2023-12-10 01:08:28,158: Executor: thread, n_jobs: 6, Result: 1.0007851925466296, Time: 0.00884556770324707
2023-12-10 01:08:28,167: Executor: process, n_jobs: 6, Result: 1.0007851925466296, Time: 0.009154319763183594
2023-12-10 01:08:28,178: Executor: thread, n_jobs: 7, Result: 1.0007851925466296, Time: 0.011222600936889648
2023-12-10 01:08:28,187: Executor: process, n_jobs: 7, Result: 1.0007851925466296, Time: 0.009010076522827148
2023-12-10 01:08:28,196: Executor: thread, n_jobs: 8, Result: 1.0007851925466296, Time: 0.008475065231323242
2023-12-10 01:08:28,205: Executor: process, n_jobs: 8, Result: 1.0007851925466296, Time: 0.00877690315246582
2023-12-10 01:08:28,214: Executor: thread, n_jobs: 9, Result: 1.0007851925466296, Time: 0.008937597274780273
2023-12-10 01:08:28,223: Executor: process, n_jobs: 9, Result: 1.0007851925466296, Time: 0.008948802947998047
2023-12-10 01:08:28,234: Executor: thread, n_jobs: 10, Result: 1.0007851925466296, Time: 0.010616540908813477
2023-12-10 01:08:28,243: Executor: process, n_jobs: 10, Result: 1.0007851925466296, Time: 0.009136676788330078
2023-12-10 01:08:28,252: Executor: thread, n_jobs: 11, Result: 1.0007851925466296, Time: 0.009187936782836914
2023-12-10 01:08:28,261: Executor: process, n_jobs: 11, Result: 1.0007851925466296, Time: 0.008872747421264648
2023-12-10 01:08:28,270: Executor: thread, n_jobs: 12, Result: 1.0007851925466296, Time: 0.009183645248413086
2023-12-10 01:08:28,279: Executor: process, n_jobs: 12, Result: 1.0007851925466296, Time: 0.00903463363647461
2023-12-10 01:08:28,291: Executor: thread, n_jobs: 13, Result: 1.0007851925466296, Time: 0.011165857315063477
2023-12-10 01:08:28,300: Executor: process, n_jobs: 13, Result: 1.0007851925466296, Time: 0.008986711502075195
2023-12-10 01:08:28,310: Executor: thread, n_jobs: 14, Result: 1.0007851925466296, Time: 0.009979724884033203
2023-12-10 01:08:28,320: Executor: process, n_jobs: 14, Result: 1.0007851925466296, Time: 0.01002645492553711
2023-12-10 01:08:28,329: Executor: thread, n_jobs: 15, Result: 1.0007851925466296, Time: 0.009466171264648438
